"Story","Title","Result","Date","Stability","Duration (s)"
"Get an active task","Get an active task with invalid id","SUCCESS","2023-01-20T13:01:53.282+07:00[Asia/Bangkok]","0.0","0.99"
"Get an active task","Get an active task without authentication","SUCCESS","2023-01-20T13:01:54.281+07:00[Asia/Bangkok]","0.0","0.98"
"Get an active task","Get an active task with invalid path","SUCCESS","2023-01-20T13:01:55.265+07:00[Asia/Bangkok]","0.0","0.92"
"Testing todoist API for Reopen a Task endpoint","Reopen a task with valid id","SUCCESS","2023-01-20T13:01:56.19+07:00[Asia/Bangkok]","0.0","1.04"
"Testing todoist API for Reopen a Task endpoint","Reopen a task with invalid id","SUCCESS","2023-01-20T13:01:57.237+07:00[Asia/Bangkok]","0.0","0.88"
"Testing todoist API for Reopen a Task endpoint","Reopen a task with unauthorized token","SUCCESS","2023-01-20T13:01:58.119+07:00[Asia/Bangkok]","0.0","1.01"
"Testing Todoist API for Update a Task endpoint","Update a Task with valid id","SUCCESS","2023-01-20T13:01:59.137+07:00[Asia/Bangkok]","0.0","0.65"
"Testing Todoist API for Update a Task endpoint","Update a Task with invalid id","SUCCESS","2023-01-20T13:01:59.789+07:00[Asia/Bangkok]","0.0","0.42"
"Testing Todoist API for Update a Task endpoint","Update a Task with invalid json","SUCCESS","2023-01-20T13:02:00.215+07:00[Asia/Bangkok]","0.0","0.43"
"Testing Todoist API for Update a Task endpoint","Update a Task with invalid token","SUCCESS","2023-01-20T13:02:00.65+07:00[Asia/Bangkok]","0.0","0.9"
"Testing Todoist API for Update a Task endpoint","Update a Task with empty json","SUCCESS","2023-01-20T13:02:01.556+07:00[Asia/Bangkok]","0.0","0.95"
